,Model_Name,GPU_Type,Dataset,Epoch,Val_Loss
128,vit,K80,cifar10,42,0.823512103204162
129,vit,K80,TinyImageNet,43,2.6284890393319444
130,vit,K80,cifar100,43,1.8203010299660074
131,vit,K80,cifar10,43,0.8381484664383403
132,vit,K80,TinyImageNet,44,2.608881537745061
133,vit,K80,cifar100,44,1.787187805601622
134,vit,K80,cifar10,44,0.8042516196743275
135,vit,K80,TinyImageNet,45,2.612374123467675
136,vit,K80,cifar100,45,1.7910778479956442
137,vit,K80,cifar10,45,0.7948671757737213
138,vit,K80,TinyImageNet,46,2.6378792047878847
139,vit,K80,cifar100,46,1.7567701955003185
140,vit,K80,cifar10,46,0.7751711133197139
141,vit,K80,TinyImageNet,47,2.5807756132649757
142,vit,K80,cifar100,47,1.7615500991394
143,vit,K80,cifar10,47,0.7909114757300717
144,vit,K80,TinyImageNet,48,2.5603684713047965
145,vit,K80,cifar100,48,1.7284657609214014
146,vit,K80,cifar10,48,0.7658504995687089
147,vit,K80,TinyImageNet,49,2.607919691752072
148,vit,K80,cifar100,49,1.7235270686509354
149,vit,K80,cifar10,49,0.7703834040541395
150,vit,K80,TinyImageNet,50,2.582809021894002
151,vit,K80,cifar100,50,1.690183757801152
152,vit,K80,cifar10,50,0.7885197390283037
153,vit,K80,TinyImageNet,51,2.57745022103643
154,vit,K80,cifar100,51,1.7047210810002558
155,vit,K80,cifar10,51,0.7844026350562466
156,vit,K80,TinyImageNet,52,2.5451181429086533
157,vit,K80,cifar100,52,1.698441933653435
158,vit,K80,cifar10,52,0.7514379521481964
159,vit,K80,TinyImageNet,53,2.571067650160695
160,vit,K80,cifar100,53,1.6872128841099299
161,vit,K80,cifar10,53,0.729723495499063
162,vit,K80,TinyImageNet,54,2.5602631138969176
163,vit,K80,cifar100,54,1.6869146992372546
164,vit,K80,cifar10,54,0.7400770950258465
165,vit,K80,TinyImageNet,55,2.5653382153827637
166,vit,K80,cifar100,55,1.6934986302587618
167,vit,K80,cifar10,55,0.7425617118529232
168,vit,K80,TinyImageNet,56,2.5965486064311696
169,vit,K80,cifar100,56,1.6668948797161687
170,vit,K80,cifar10,56,0.7193015918128419
171,vit,K80,TinyImageNet,57,2.5693035016725285
172,vit,K80,cifar100,57,1.7109920831604475
173,vit,K80,cifar10,57,0.7194774749003912
174,vit,K80,TinyImageNet,58,2.580007254956097
175,vit,K80,cifar100,58,1.6808289728411652
176,vit,K80,cifar10,58,0.7159664351711602
177,vit,K80,TinyImageNet,59,2.5586722467549423
178,vit,K80,cifar100,59,1.6468481704867877
179,vit,K80,cifar10,59,0.7406366841201145
180,vit,K80,TinyImageNet,60,2.573733728675077
181,vit,K80,cifar100,60,1.689271600209799
182,vit,K80,cifar10,60,0.754218039481374
183,vit,K80,TinyImageNet,61,2.5725806208709745
184,vit,K80,cifar100,61,1.6787059168066931
185,vit,K80,cifar10,61,0.7250405062095063
186,vit,K80,TinyImageNet,62,2.557019809590338
187,vit,K80,cifar100,62,1.6564681891432742
188,vit,K80,cifar10,62,0.7220142497965368
189,vit,K80,TinyImageNet,63,2.5623755476280374
190,vit,K80,cifar100,63,1.6625100063117912
191,vit,K80,cifar10,63,0.7051758772386804
192,vit,K80,TinyImageNet,64,2.511987562053379
193,vit,K80,cifar100,64,1.656478808123461
194,vit,K80,cifar10,64,0.715413441277088
195,vit,K80,TinyImageNet,65,2.5524868813239134
196,vit,K80,cifar100,65,1.651849385882382
197,vit,K80,cifar10,65,0.6904852430926353
198,vit,K80,TinyImageNet,66,2.5165568754091305
199,vit,K80,cifar100,66,1.6338900865355357
200,vit,K80,cifar10,66,0.7216681506559413
201,vit,K80,TinyImageNet,67,2.4907049302297866
202,vit,K80,cifar100,67,1.6265528657473143
203,vit,K80,cifar10,67,0.679341154357224
204,vit,K80,TinyImageNet,68,2.5096135708485208
205,vit,K80,cifar100,68,1.6456548493600438
206,vit,K80,cifar10,68,0.6958530955930661
207,vit,K80,TinyImageNet,69,2.512116825056413
208,vit,K80,cifar100,69,1.6116345334216138
209,vit,K80,cifar10,69,0.6705454257345501
210,vit,K80,TinyImageNet,70,2.4716517197465873
211,vit,K80,cifar100,70,1.6288835251454836
212,vit,K80,cifar10,70,0.6939562816496183
213,vit,K80,TinyImageNet,71,2.4994640019701198
214,vit,K80,cifar100,71,1.6271876136513024
215,vit,K80,cifar10,71,0.7126510411145014
216,vit,K80,TinyImageNet,72,2.4762693084465885
217,vit,K80,cifar100,72,1.6358458636498157
218,vit,K80,cifar10,72,0.6882084231484566
219,vit,K80,TinyImageNet,73,2.491276669703656
220,vit,K80,cifar100,73,1.6018697660039312
221,vit,K80,cifar10,73,0.6601053771674079
222,vit,K80,TinyImageNet,74,2.4829066222709013
223,vit,K80,cifar100,74,1.59047672762833
224,vit,K80,cifar10,74,0.6864846433978148
225,vit,K80,TinyImageNet,75,2.464589624368876
226,vit,K80,cifar100,75,1.6187659527554885
227,vit,K80,cifar10,75,0.6890374684030539
228,vit,K80,TinyImageNet,76,2.5109036122737862
229,vit,K80,cifar100,76,1.6126409115147622
230,vit,K80,cifar10,76,0.6804433714810427
231,vit,K80,TinyImageNet,77,2.479586297381693
232,vit,K80,cifar100,77,1.6028743197640647
233,vit,K80,cifar10,77,0.682181597948397
234,vit,K80,TinyImageNet,78,2.464683394044545
235,vit,K80,cifar100,78,1.5841213795887958
236,vit,K80,cifar10,78,0.6572505762645533
237,vit,K80,TinyImageNet,79,2.4658714090261022
238,vit,K80,cifar100,79,1.5865440083672089
239,vit,K80,cifar10,79,0.6863310447604276
240,vit,K80,TinyImageNet,80,2.499110936555489
241,vit,K80,cifar100,80,1.5937091488054416
242,vit,K80,cifar10,80,0.6850203431384939
243,vit,K80,TinyImageNet,81,2.4425733937485714
244,vit,K80,cifar100,81,1.5684896408052054
245,vit,K80,cifar10,81,0.7041733992864245
246,vit,K80,TinyImageNet,82,2.479918016302887
247,vit,K80,cifar100,82,1.5626419193725969
248,vit,K80,cifar10,82,0.6730542457017981
249,vit,K80,TinyImageNet,83,2.459850618910308
250,vit,K80,cifar100,83,1.566287410651863
251,vit,K80,cifar10,83,0.6640550468794015
252,vit,K80,TinyImageNet,84,2.4658630001323294
253,vit,K80,cifar100,84,1.581794149551421
254,vit,K80,cifar10,84,0.702161837111445
255,vit,K80,TinyImageNet,85,2.4718335148244415
256,vit,K80,cifar100,85,1.5700773677011115
257,vit,K80,cifar10,85,0.6553543878804255
258,vit,K80,TinyImageNet,86,2.4636051288068233
259,vit,K80,cifar100,86,1.5182254659308474
260,vit,K80,cifar10,86,0.66417635985736
261,vit,K80,TinyImageNet,87,2.4590056145948505
262,vit,K80,cifar100,87,1.5425341112787838
263,vit,K80,cifar10,87,0.663693198947632
264,vit,K80,TinyImageNet,88,2.4748583933822483
265,vit,K80,cifar100,88,1.48825985740035
266,vit,K80,cifar10,88,0.6965744303900783
